Comp_Name	Box_Name	Subtype_NO	BoardIn_NO	Scan_NO	CAD_X	CAD_Y	CAD_Width	CAD_Height	Board_Side	Solder_ThicknessN1_Layer1	Solder_Area_Layer1	Absolute_Height_Layer1	Solder_ThicknessN1_Layer2	Solder_Area_Layer2	Absolute_Height_Layer2	Solder_ThicknessN1_Layer3	Solder_Area_Layer3	Solder_PTH_Filling_PIP_Layer3	Absolute_Height_Layer3	Short_Left1_Layer4	Short_Top1_Layer4	Short_Right1_Layer4	Short_Bottom1_Layer4	Absolute_Height_Layer4	Location_X(pixel)	Location_Y(pixel)	Initial_H	Retry_H	Laser_Height	
C100_2	2	0	1	13	0.000	0.000	0.000	0.000	Bottom	32.6	0.7844	-0.260174	41.8	1.6859	-1.210174	37.7	1.0068	100.0000	-1.685174	0.0	0.0	0.0	0.0	-2.160174	12521	7084	-2.160174	-2.160174	-2.160174	
C100_2	2	0	1	14	0.000	0.000	0.000	0.000	Bottom	32.7	0.8133	-0.260752	41.6	1.6949	-1.210752	37.6	1.0068	100.0000	-1.685752	0.0	0.0	0.0	0.0	-2.160753	12521	7084	-2.160752	-2.160753	-2.160752	
C100_2	2	0	1	15	0.000	0.000	0.000	0.000	Bottom	32.8	0.7828	-0.260232	41.7	1.6896	-1.210232	37.6	1.0068	100.0000	-1.685232	0.0	0.0	0.0	0.0	-2.160232	12520	7084	-2.160232	-2.160232	-2.160232	
C100_2	2	0	1	16	0.000	0.000	0.000	0.000	Bottom	32.7	0.7997	-0.261145	41.7	1.6904	-1.211145	37.5	1.0068	100.0000	-1.686145	0.0	0.0	0.0	0.0	-2.161145	12520	7084	-2.161145	-2.161145	-2.161145	
C100_2	2	0	1	17	0.000	0.000	0.000	0.000	Bottom	32.8	0.8475	-0.260646	41.8	1.6961	-1.210646	37.6	1.0068	100.0000	-1.685646	0.0	0.0	0.0	0.0	-2.160646	12520	7084	-2.160646	-2.160646	-2.160646	
C100_2	2	0	1	18	0.000	0.000	0.000	0.000	Bottom	32.9	0.8186	-0.260566	41.8	1.6949	-1.210566	37.6	1.0068	100.0000	-1.685566	0.0	0.0	0.0	0.0	-2.160566	12520	7084	-2.160566	-2.160566	-2.160566	
C100_2	2	0	1	19	0.000	0.000	0.000	0.000	Bottom	32.7	0.8342	-0.261152	41.7	1.6961	-1.211152	37.5	1.0068	100.0000	-1.686152	0.0	0.0	0.0	0.0	-2.161152	12520	7084	-2.161152	-2.161152	-2.161152	
C100_2	2	0	1	20	0.000	0.000	0.000	0.000	Bottom	32.8	0.8033	-0.261751	41.8	1.6945	-1.211751	37.4	1.0068	100.0000	-1.686751	0.0	0.0	0.0	0.0	-2.161751	12520	7084	-2.161750	-2.161751	-2.161750	
C100_2	2	0	1	21	0.000	0.000	0.000	0.000	Bottom	32.8	0.7704	-0.261522	41.9	1.6949	-1.211522	37.5	1.0068	100.0000	-1.686522	0.0	0.0	0.0	0.0	-2.161522	12520	7084	-2.161522	-2.161522	-2.161522	
C100_2	2	0	1	22	0.000	0.000	0.000	0.000	Bottom	32.8	0.8013	-0.262392	41.8	1.6900	-1.212392	37.5	1.0068	100.0000	-1.687392	0.0	0.0	0.0	0.0	-2.162392	12520	7084	-2.162392	-2.162392	-2.162392	
C100_2	2	0	1	23	0.000	0.000	0.000	0.000	Bottom	32.9	0.7901	-0.262308	42.0	1.6933	-1.212308	37.7	1.0068	100.0000	-1.687308	0.0	0.0	0.0	0.0	-2.162308	12520	7084	-2.162308	-2.162308	-2.162308	
C100_2	2	0	1	24	0.000	0.000	0.000	0.000	Bottom	33.0	0.7680	-0.262285	42.0	1.6969	-1.212285	37.8	1.0068	100.0000	-1.687285	0.0	0.0	0.0	0.0	-2.162285	12520	7083	-2.162285	-2.162285	-2.162285	
C100_2	2	0	1	25	0.000	0.000	0.000	0.000	Bottom	33.1	0.8334	-0.261954	42.2	1.6920	-1.211954	37.7	1.0068	100.0000	-1.686954	0.0	0.0	0.0	0.0	-2.161954	12520	7084	-2.161954	-2.161954	-2.161954	
C100_2	2	0	1	26	0.000	0.000	0.000	0.000	Bottom	32.9	0.8258	-0.262925	42.2	1.6921	-1.212925	37.8	1.0069	100.0000	-1.687925	0.0	0.0	0.0	0.0	-2.162925	12520	7084	-2.162925	-2.162925	-2.162925	
C100_2	2	0	1	27	0.000	0.000	0.000	0.000	Bottom	33.1	0.8471	-0.262955	42.1	1.6933	-1.212955	37.8	1.0069	100.0000	-1.687955	0.0	0.0	0.0	0.0	-2.162955	12520	7084	-2.162955	-2.162955	-2.162955	
C100_2	2	0	1	28	0.000	0.000	0.000	0.000	Bottom	33.2	0.8289	-0.281765	42.0	1.6913	-1.231765	37.3	1.0071	100.0000	-1.706765	0.0	0.0	0.0	0.0	-2.181765	12520	7084	-2.181765	-2.181765	-2.181765	
C100_2	2	0	1	29	0.000	0.000	0.000	0.000	Bottom	33.1	0.8242	-0.263283	42.1	1.6876	-1.213283	37.8	1.0069	100.0000	-1.688283	0.0	0.0	0.0	0.0	-2.163283	12520	7084	-2.163283	-2.163283	-2.163283	
C100_2	2	0	1	30	0.000	0.000	0.000	0.000	Bottom	33.1	0.8314	-0.263225	42.1	1.6953	-1.213225	37.8	1.0069	100.0000	-1.688225	0.0	0.0	0.0	0.0	-2.163225	12520	7084	-2.163225	-2.163225	-2.163225	
